"X","Sensitivity","Specificity","Pos.Pred.Value","Neg.Pred.Value","Prevalence","Detection.Rate","Detection.Prevalence","Balanced.Accuracy","classifier"
"lm.table",0.660287081339713,0.62781954887218,0.582278481012658,0.701680672268908,0.44,0.290526315789474,0.498947368421053,0.644053315105947,1
"lda.table",0.483253588516746,0.515037593984962,0.439130434782609,0.559183673469388,0.44,0.212631578947368,0.484210526315789,0.499145591250854,1
"qda.table",0.483253588516746,0.515037593984962,0.439130434782609,0.559183673469388,0.44,0.212631578947368,0.484210526315789,0.499145591250854,1
"rf.table",0.822966507177033,0.665413533834586,0.659003831417624,0.827102803738318,0.44,0.362105263157895,0.549473684210526,0.74419002050581,1
"l.svm.table",0.923076923076923,0.567669172932331,0.625407166123779,0.904191616766467,0.438818565400844,0.40506329113924,0.647679324894515,0.745373048004627,1
"r.svm.table",0.817307692307692,0.642857142857143,0.641509433962264,0.818181818181818,0.438818565400844,0.358649789029536,0.559071729957806,0.730082417582418,1
"knn.table",0.942583732057416,0.958646616541353,0.947115384615385,0.955056179775281,0.44,0.414736842105263,0.437894736842105,0.950615174299385,1
"lm.table",0.868263473053892,0.581081081081081,0.609243697478992,0.854304635761589,0.429305912596401,0.372750642673522,0.611825192802057,0.724672277067487,2
"lda.table",0.880239520958084,0.603603603603604,0.625531914893617,0.87012987012987,0.429305912596401,0.377892030848329,0.604113110539846,0.741921562280844,2
"rf.table",0.868263473053892,0.603603603603604,0.622317596566524,0.858974358974359,0.429305912596401,0.372750642673522,0.598971722365039,0.735933538328748,2
"l.svm.table",0.910179640718563,0.594594594594595,0.628099173553719,0.897959183673469,0.429305912596401,0.390745501285347,0.622107969151671,0.752387117656579,2
"r.svm.table",0.802395209580838,0.657657657657658,0.638095238095238,0.815642458100559,0.429305912596401,0.344473007712082,0.539845758354756,0.730026433619248,2
"knn.table",0.964071856287425,0.986486486486487,0.981707317073171,0.973333333333333,0.429305912596401,0.413881748071979,0.42159383033419,0.975279171386956,2
"lm.table",0.898203593,0.527027027,0.588235294,0.873134328,0.429305913,0.385604113,0.655526992,0.71261531,3
"lda.table",0.916167665,0.5,0.579545455,0.888,0.429305913,0.393316195,0.678663239,0.708083832,3
"rf.table",0.80239521,0.68018018,0.653658537,0.820652174,0.429305913,0.344473008,0.526992288,0.741287695,3
"l.svm.table",0.874251497,0.576576577,0.608333333,0.859060403,0.429305913,0.375321337,0.616966581,0.725414037,3
"r.svm.table",0.562874251,0.774774775,0.652777778,0.702040816,0.429305913,0.241645244,0.370179949,0.668824513,3
"knn.table",0.868263473,0.842342342,0.805555556,0.894736842,0.429305913,0.372750643,0.462724936,0.855302908,3
"lm.table",0.491017964,0.869369369,0.738738739,0.694244604,0.429305913,0.210796915,0.285347044,0.680193667,4
"lda.table",0.502994012,0.855855856,0.724137931,0.695970696,0.429305913,0.215938303,0.298200514,0.679424934,4
"rf.table",0.754491018,0.72972973,0.677419355,0.798029557,0.429305913,0.323907455,0.4781491,0.742110374,4
"l.svm.table",0.550898204,0.891891892,0.793103448,0.725274725,0.429305913,0.236503856,0.298200514,0.721395048,4
"r.svm.table",0.19760479,0.86036036,0.515625,0.587692308,0.429305913,0.084832905,0.164524422,0.528982575,4
"knn.table",0.610778443,0.68018018,0.589595376,0.699074074,0.429305913,0.262210797,0.444730077,0.645479312,4
