,Website,Health,Dental Count,Optical,Medic,Treatment,Diagnosis,Physician,Quality,WebAddress
0,http://hcahealthcare.com/,48,0,0,5,1,0,3,0,http://hcahealthcare.com/
1,http://hcaethics.com/,7,0,0,0,0,0,0,0,http://hcaethics.com/
2,http://www.hcamidwest.com/,138,0,0,30,5,1,41,0,http://www.hcamidwest.com/
3,http://www.chs.net/,2,0,0,2,0,1,3,0,http://www.chs.net/
4,http://www.dollargeneral.com/home/index.jsp,2,0,0,0,0,0,0,0,http://www.dollargeneral.com/home/index.jsp
5,http://hcahealthcare.com/,44,0,0,4,1,0,3,0,http://hcahealthcare.com/
6,http://www.dollargeneral.com/home/index.jsp,2,0,0,0,0,0,0,0,http://www.dollargeneral.com/home/index.jsp
7,http://www.delekus.com/,0,0,0,0,0,0,0,0,http://www.delekus.com/
8,http://www.tenethealth.com/,21,0,0,0,0,0,4,0,http://www.tenethealth.com/
9,http://www.tractorsupply.com/,15,0,0,0,0,0,0,0,http://www.tractorsupply.com/
10,http://www.lifepointhospitals.com/,3,0,0,1,0,0,10,0,http://www.lifepointhospitals.com/
11,http://www.caremark.com/wps/portal,4,0,0,5,0,0,0,0,http://www.caremark.com/wps/portal
12,http://www.brookdale.com/,0,0,0,0,0,0,0,0,http://www.brookdale.com/
13,http://www.vanderbilt.edu/,6,0,0,5,1,0,0,0,http://www.vanderbilt.edu/
14,http://www.cigna.com/medicare/cigna-healthspring,40,0,0,227,0,0,0,0,http://www.cigna.com/medicare/cigna-healthspring
15,http://finance.cat.com/cda/components/fullArticleNoNav?id=316005,0,0,0,0,0,0,0,0,http://finance.cat.com/cda/components/fullArticleNoNav?id=316005
16,http://www.iasishealthcare.com/,135,0,0,22,0,0,7,0,http://www.iasishealthcare.com/
17,http://www.crackerbarrel.com/,0,0,0,0,0,0,0,0,http://www.crackerbarrel.com/
18,http://www.genesco.com/,0,0,0,0,0,0,0,0,http://www.genesco.com/
19,http://www.mc.vanderbilt.edu/,28,0,0,3,0,0,0,0,http://www.mc.vanderbilt.edu/
20,http://www.bridgestone-firestone.com/,0,0,0,0,0,0,0,0,http://www.bridgestone-firestone.com/
21,http://www.puritydairies.com/,2,0,0,0,0,0,0,0,http://www.puritydairies.com/
22,http://www.puritydairies.com/,2,0,0,0,0,0,0,0,http://www.puritydairies.com/
23,http://www.tbr.edu/,0,0,0,0,0,0,0,0,http://www.tbr.edu/
24,http://www.lpcorp.com/,0,0,0,0,0,0,0,0,http://www.lpcorp.com/
25,http://www.emdeon.com/,6,0,0,0,0,0,5,0,http://www.emdeon.com/
26,http://mmodal.com/,1,0,0,1,0,0,7,0,http://mmodal.com/
27,http://www.emdeon.com/,6,0,0,0,0,0,5,0,http://www.emdeon.com/
28,http://www.comdata.com/,4,0,0,1,0,0,0,0,http://www.comdata.com/
29,http://www.comdata.com/,4,0,0,1,0,0,0,0,http://www.comdata.com/
30,http://hcahealthcare.com/,44,0,0,4,1,0,3,0,http://hcahealthcare.com/
31,http://www.iostudio.com/,0,0,0,0,0,0,0,0,http://www.iostudio.com/
32,http://www.emdeon.com/,6,0,0,0,0,0,5,0,http://www.emdeon.com/
33,http://www.localgovernmentcorporation.com/drupal7/,0,0,0,0,0,0,0,0,http://www.localgovernmentcorporation.com/drupal7/
34,http://www.tnfarmbureau.org/,1,0,0,0,0,0,0,0,http://www.tnfarmbureau.org/
35,http://www.nashville.gov/,0,0,0,0,0,0,0,0,http://www.nashville.gov/
36,http://www.inphact.com/,0,0,0,1,0,0,0,0,http://www.inphact.com/
37,http://www.fisglobal.com/,0,0,0,0,0,0,0,0,http://www.fisglobal.com/
38,http://www.concepttechnologyinc.com/,0,0,0,0,0,0,0,0,http://www.concepttechnologyinc.com/
39,http://NA,NA,NA,NA,NA,NA,NA,NA,NA,http://NA
40,http://www.accuimagellc.com/,1,0,0,1,0,0,0,0,http://www.accuimagellc.com/
