,Website,Health,Dental,Optical,Medic,Treatment,Diagnosis,Physician,Quality,WebAddress
0,http://www.costcontrol.com,0,0,0,0,0,0,0,0,http://www.costcontrol.com
1,http://www.bas-solutions.com,0,0,0,0,0,0,0,0,http://www.bas-solutions.com
2,http://www.murfreesborodiabetes.com,2,0,0,2,0,0,1,0,http://www.murfreesborodiabetes.com
3,http://www.brmcmillan.com,0,0,0,0,0,0,0,0,http://www.brmcmillan.com
4,http://www.mybackinbalance.massagetherapy.com,2,0,0,0,2,0,0,0,http://www.mybackinbalance.massagetherapy.com
5,http://www.backuptelecom.com,0,0,0,0,0,0,0,0,http://www.backuptelecom.com
6,http://www.baconmdlaser.com,0,0,0,0,6,0,0,0,http://www.baconmdlaser.com
7,http://www.doctorbailey.com,0,0,0,0,0,0,0,0,http://www.doctorbailey.com
8,http://www.baileysouthwell.com,6,0,0,0,0,0,0,0,http://www.baileysouthwell.com
9,http://www.faulknerandpollei.com,0,0,0,0,0,0,0,0,http://www.faulknerandpollei.com
10,http://www.faulknerandpollei.com,0,0,0,0,0,0,0,0,http://www.faulknerandpollei.com
11,http://www.inglewoodfamilydentistry.com,2,7,0,0,0,0,0,0,http://www.inglewoodfamilydentistry.com
12,http://www.bsh-cpa.com,0,0,0,0,0,0,0,0,http://www.bsh-cpa.com
13,http://www.bsh-cpa.com,0,0,0,0,0,0,0,0,http://www.bsh-cpa.com
14,http://www.balfourbeattyus.com,2,0,0,1,4,0,0,0,http://www.balfourbeattyus.com
15,http://www.ballardvision.net,3,0,1,2,0,1,0,0,http://www.ballardvision.net
16,http://www.bamsocialbusiness.com,0,0,0,0,0,0,0,0,http://www.bamsocialbusiness.com
17,http://www.bancroftoquinn.com,NA,NA,NA,NA,NA,NA,NA,NA,http://www.bancroftoquinn.com
18,http://www.baptistasc.com,1,0,0,0,0,0,2,0,http://www.baptistasc.com
19,http://www.ahg.org,6,0,0,0,0,0,7,0,http://www.ahg.org
20,http://www.baptisthospital.com,20,0,0,4,0,0,0,0,http://www.baptisthospital.com
21,http://www.chgcenter.com,0,0,0,4,1,1,1,0,http://www.chgcenter.com
22,http://www.baptisthospital.com,20,0,0,4,0,0,0,0,http://www.baptisthospital.com
23,http://www.baptistplaza-sc.com,1,0,0,1,0,0,2,0,http://www.baptistplaza-sc.com
24,http://www.baptistsportsmedicine.com,22,0,0,6,1,2,1,0,http://www.baptistsportsmedicine.com
25,http://www.baptistsportsmedicine.com,22,0,0,6,1,2,1,0,http://www.baptistsportsmedicine.com
26,http://www.baptistsportsmedicine.com,22,0,0,6,1,2,1,0,http://www.baptistsportsmedicine.com
27,http://www.baptistsportsmedicine.com,22,0,0,6,1,2,1,0,http://www.baptistsportsmedicine.com
28,http://www.baptistsportsmedicine.com,22,0,0,6,1,2,1,0,http://www.baptistsportsmedicine.com
29,http://www.baptistsportsmedicine.com,22,0,0,6,1,2,1,0,http://www.baptistsportsmedicine.com
30,http://www.baptistsportsmedicine.com,22,0,0,6,1,2,1,0,http://www.baptistsportsmedicine.com
31,http://www.nashvillemedicalgroup.com,3,0,0,5,2,0,5,0,http://www.nashvillemedicalgroup.com
