Unique ID,CompanyName,WebAddress,PrimaryUSNAICSCode,Health,AllNAICSCodes,PostalDeliveryPoint,NAICSCode,SIC Code,Combined Code,Combined Mngt Code
4,101 Construction Company,www.101construction.com,236220,0,236117;236220,99,0,0,0,0
19,2 The Top Web Site Design & Promotion,www.2thetopdesign.com,518210,0,518210,8,0,0,0,0
33,3gs LLC,www.3gsshredding.com,518210,0,518210,77,0,0,0,0
34,3M COMPANY,www.mmm.com,339113,0,339113,0,2,2,2,2
47,5 Points Digital Imaging,www.5pdi.com,517919,0,517919,5,0,0,0,0
48,5 Star Compliance of USA LLC,www.mccompliance.com,541511,0,541511,8,0,0,0,0
56,828 Marketing,www.828marketing.com,541613,0,541613,21,0,0,0,0
57,"A - Plus Bookkeeping and Payroll Services, LLC",www.apluscolumbia.com,541219,0,541219,20,0,0,0,0
58,"A - Plus Bookkeeping and Payroll Services, LLC",www.apluscolumbia.com,541219,0,541219,55,0,0,0,0
75,"A Different View Limited, LLC",www.adifferentviewonline.com,541611,0,541611,43,0,0,0,0
101,A3 Marketing,www.a3marketing.com,541613,0,541613,,0,0,0,0
122,Above Rubies,www.aboverubies.org,541690,0,541690,75,2,0,0,0
125,"Abrio Healthcare Solutions, Inc.",www.abriohealthcare.com,541618,0,541618,82,0,0,0,0
126,ABS Financial Services Inc,www.absfinancialservice.com,541611,0,541611,27,0,0,0,0
138,"ACCELERATED SOLUTIONS, LLC",www.arxllc.com,541618,1,541618,,0,0,0,0
145,"Access Retirement Services, LLC",www.accessretirement.com,541690,0,541690,99,2,0,0,0
149,Accountnet Incorporated,www.accountnet.biz,541219,0,541219,0,0,0,0,0
150,Accounts Receivable Solutions LLC,www.accounts-receivable.com,541219,1,541219,26,0,0,0,0
153,"Accuimage, LLC",www.accuimagellc.com,518210,0,443142;518210,7,0,0,0,0
156,"Accurate Healthcare, Inc.",www.accuratehealthcare.com,423450,1,423450,93,5,5,5,5
166,ACS MULTI MEDIA ADVERTISING,www.acs-inc.com,517919,0,517919,76,0,0,0,0
170,"ACTIVE NETWORK, LLC",www.investors.activenetwork.com,541618,0,541618,99,0,0,0,0
175,"Acuity Marketing Communications, Inc",www.acuweb.com,541613,0,541613,11,0,0,0,0
217,Advance Auto Salvage,www.advanceautosalvage.com,541618,0,541618,56,0,0,0,0
227,Advanced Behavior Consultants,www.advancedbehaviorconsultants.com,541618,0,541618,0,0,0,0,0
228,"Advanced Billing, Inc.",www.advancedbillinginc.com,541219,1,541219,2,0,0,0,0
231,"ADVANCED COMPUTER EXPERTS, INC.",www.acepronet.com,541512,0,541512,,0,0,0,0
234,"Advanced Engineering, Inc.",www.adveng.com,541690,0,541690,13,2,0,0,0
242,"ADVANCED MACHINE RELIABILITY RESOURCES, INC",www.precisionlubrication.com,541611,0,541611,99,0,0,0,0
255,"Advanced Protective Services, Inc.",www.besafe247.com,541611,0,541611,5,0,0,0,0
259,Advanced Sleep Consultants of Middle TN,www.tn-lebanon.doctors.at,541618,1,541618,99,0,0,0,0
266,Advantage CPA Group LLC,www.advantagecpas.com,541211,0,541211,60,0,0,0,0
276,"Adventureworks, Inc.",www.adventureworks.com,541611,0,541611,0,0,0,0,0
282,Aegis Health Group,www.aegis-group.com,541611,1,541611,0,0,5,5,5
303,Affiliatewise LLC,www.affiliatewise.com,541613,0,541613,25,0,0,0,0
314,"Affordable Home Access Solutions, Inc.",www.affordablehomeaccess.com,236220,0,236220,26,0,0,0,0
323,Agee Technology Solutions,www.ageesolutions.com,541512,0,541512,16,0,0,0,0
