CompanyName,WebAddress,PrimaryUSNAICSCode,AllNAICSCodes,HC
B & L CORP,www.costcontrol.com,541611,541611,0
B A S Solutions,www.bas-solutions.com,541511,541511,0
"B. Paul Turpin, M.D., Pllc",www.murfreesborodiabetes.com,621111,621111,1
"B.R. McMillan & Associates, Inc.",www.brmcmillan.com,236220,236220,0
Back In Balance,www.mybackinbalance.massagetherapy.com,621399,621399,1
Backup Telecom Consulting LLC,www.backuptelecom.com,541618,541618,0
Bacon Laser and Skincare MD,www.baconmdlaser.com,621111,621111,1
Bailey Chiropractic,www.doctorbailey.com,621310,621310,1
Bailey Southwell,www.baileysouthwell.com,541611,541611,1
Baird R Faulkner DMD,www.faulknerandpollei.com,621210,621210,1
Baird R Faulkner DMD,www.faulknerandpollei.com,621210,621210,1
"BAKER CURTIS DMD, KAREN",www.inglewoodfamilydentistry.com,621210,621210,1
BAKER SULLIVAN & HOOVER,www.bsh-cpa.com,541219,541219,0
Baker Sullivan & Hoover,www.bsh-cpa.com,541219,541219,0
"BALFOUR BEATTY CONSTRUCTION, LLC",www.balfourbeattyus.com,541611,541611,0
"BALLARD, ALAN & ASSOC",www.ballardvision.net,621111,621111,1
"Bam Social Business, LLC",www.bamsocialbusiness.com,541613,541511;541613;561990,0
Bancroft O'Quinn Jr MD,www.bancroftoquinn.com,621111,621111,1
BAPTIST AMBULATORY SURGERY CENTER,www.baptistasc.com,621493,621493,1
Baptist Health,www.ahg.org,622110,622110,1
Baptist Health Care Group,www.baptisthospital.com,622110,622110,1
Baptist Healthcare Group,www.chgcenter.com,621111,621111,1
"Baptist Hospital Home Care Services, Inc",www.baptisthospital.com,621610,621610,1
"Baptist Plaza Surgicare, L.P.",www.baptistplaza-sc.com,621493,621493,1
Baptist Sports Medicine,www.baptistsportsmedicine.com,621340,621340,1
Baptist Sports Medicine,www.baptistsportsmedicine.com,621111,621111,1
Baptist Sports Medicine,www.baptistsportsmedicine.com,624190,621111;621340;624190,1
BAPTIST SPORTS MEDICINE,www.baptistsportsmedicine.com,621498,621498,1
Baptist Sports Medicine,www.baptistsportsmedicine.com,622110,621111;621340;622110,1
