"lasso.keywords1","lasso.keywords2","lasso.keywords3","lasso.keywords4","lasso.keywords5"
"patient","patient","patient","patient","patient"
"health","health","medic","care","care"
"treatment","care","treatment","treatment","treatment"
"healthcar","treatment","healthcar","healthcar","dentistri"
"therapi","physician","dentistri","dentistri","healthcar"
"cosmet","dentistri","therapi","therapi","clinic"
"practic","healthcar","practic","cosmet","therapi"
"pain","cosmet","well","practic","cosmet"
"dentist","practic","pain","well","dentist"
"children","therapi","bill","dentist","practic"
"new.patient","new.patient","allergi","new.patient","surgic"
"staff","communiti","new.patient","children","massag"
"patients","procedur","procedur","massag","new.patient"
"dds","healthi","healthi","procedur","home.care"
"health.well","dds","comfort","live","treat"
"patient","feel","children","dds","feel"
"health","children","bodi","feel","health.care"
"treatment","dentistry","dds","heal","ehr"
"healthcar","bone","health.well","health.well","dds"
"therapi","ehr","feel","bodi","assist.live"
"cosmet","patient","patient","bone","patient"
"practic","health","medic","dentistry","care"
